location,price,size,price_per_sqm,,,,,,,,,,,,price_per_rai
Bang Khen,"6,000,000",248,"24,194",,,,,,,,,,,,
Bang Khen,"13,200,000",600,"22,000",,,,,,,,,,,,
Bang Khen,"7,950,000",424,"18,750",,,,,,,,,,,,
Bang Khen,"4,650,000",308,"15,097",,,,,,,,,,,,
Bang Khen,"38,000,000","2,832","13,418",,,,,,,,,,,,
Bang Khen,"3,800,000",292,"13,014",,,,,,,,,,,,
Bang Khen,"6,500,000",608,"10,691",,,,,,,,,,,,
Bang Khen,"69,000,000","7,000","9,857",,,,,,,,,,,,
Bang Khen,"3,200,000",344,"9,302",,,,,,,,,,,,
Bang Khen,"6,500,000","1,600","4,063",,,,,,,,,,,,
Bang Khae,"90,000,000",900,"100,000",,,,,,,,,,,,
Bang Khae,"15,600,000",308,"50,649",,,,,,,,,,,,
Bang Khae,"9,500,000",240,"39,583",,,,,,,,,,,,
Bang Khae,"3,000,000",89,"33,708",,,,,,,,,,,,
Bang Khae,"48,453,600","2,400","20,189",,,,,,,,,,,,
Bang Khae,"4,390,000",280,"15,679",,,,,,,,,,,,
Bang Khae,"10,300,000",800,"12,875",,,,,,,,,,,,
Bang Khae,"9,500,000",948,"10,021",,,,,,,,,,,,
Bang Khae,"7,500,000",760,"9,868",,,,,,,,,,,,
Bang Khae,"7,500,000",780,"9,615",,,,,,,,,,,,
Bang Kapi,"176,080,000","2,272","77,500",,,,,,,,,,,,
Bang Kapi,"150,000,000","2,252","66,607",,,,,,,,,,,,
Bang Kapi,"15,000,000",400,"37,500",,,,,,,,,,,,
Bang Kapi,"11,505,000",708,"16,250",,,,,,,,,,,,
Bang Bon,"3,350,000",204,"16,422",,,,,,,,,,,,
Bang Bon,"19,135,000","1,780","10,750",,,,,,,,,,,,
Bang Bon,"15,000,000","1,912","7,845",,,,,,,,,,,,
