location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Bang Phlat ,"83,940,000","2,796","30,021",,2025-07-30 14:48:40,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Phlat ,"83,940,000","2,796","30,021",,2025-07-30 13:16:56,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Bueng Kum ,"414,960,000","13,832","30,000",,2025-07-30 13:15:07,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Chatuchak ,"61,000,000","2,148","28,399",,2025-07-30 13:19:23,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Wang Thonglang ,"8,250,000",292,"28,253",,2025-07-30 13:14:47,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Sai Mai ,"5,500,000",196,"28,061",,2025-07-30 13:14:10,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Chatuchak ,"10,560,000",384,"27,500",,2025-07-30 13:22:58,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Chatuchak ,"10,560,000",384,"27,500",,2025-07-30 14:46:11,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Chatuchak ,"10,560,000",384,"27,500",,2025-07-30 13:14:02,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Bang Na ,"10,500,000",400,"26,250",,2025-07-30 14:50:13,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Bang Khen ,"4,900,000",188,"26,064",,2025-07-30 13:15:03,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Taling Chan ,"12,360,000",480,"25,750",,2025-07-30 13:35:59,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Bang Khun Thian ,"70,000,000","2,796","25,036",,2025-07-30 14:48:31,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khun Thian ,"70,000,000","2,796","25,036",,2025-07-30 13:16:58,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Lat Phrao ,"6,000,000",240,"25,000",,2025-07-30 13:21:24,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Lat Phrao ,"14,602,000",596,"24,500",,2025-07-30 14:48:22,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khen ,"6,000,000",248,"24,194",,2025-07-30 13:20:36,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Sai Mai ,"37,685,000","1,600","23,553",,2025-07-30 13:24:05,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Prawet ,"299,340,000","12,800","23,386",,2025-07-30 13:35:39,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Bang Phlat ,"150,000,000","6,716","22,335",,2025-07-30 14:47:38,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Bang Phlat ,"150,000,000","6,716","22,335",,2025-07-30 13:22:13,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Thawi Watthana ,"60,000,000","2,688","22,321",,2025-07-30 13:19:13,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Bang Khen ,"13,200,000",600,"22,000",,2025-07-30 14:49:08,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Bang Na ,"17,500,000",800,"21,875",,2025-07-30 13:15:38,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Phra Khanong ,"33,915,000","1,596","21,250",,2025-07-30 13:19:36,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Lak Si ,"16,500,000",800,"20,625",,2025-07-30 13:20:10,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Bang Khae ,"48,453,600","2,400","20,189",,2025-07-30 13:21:02,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Khlong Sam Wa ,"142,740,000","7,320","19,500",,2025-07-30 13:21:04,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Bang Na ,"15,000,000",792,"18,939",,2025-07-30 14:48:46,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khen ,"7,950,000",424,"18,750",,2025-07-30 13:20:39,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Wang Thonglang ,"38,500,000","2,076","18,545",,2025-07-30 14:47:04,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Min Buri ,"519,000,000","28,800","18,021",,2025-07-30 13:22:22,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Lat Phrao ,"7,000,000",396,"17,677",,2025-07-30 13:14:21,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Sai Mai ,"33,475,000","1,924","17,399",,2025-07-30 13:19:53,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Phasi Charoen ,"35,000,000","2,024","17,292",,2025-07-30 13:35:43,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Taling Chan ,"3,320,000",196,"16,939",,2025-07-30 13:24:12,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Lat Phrao ,"8,370,000",496,"16,875",,2025-07-30 13:15:54,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Phasi Charoen ,"21,900,000","1,320","16,591",,2025-07-30 13:23:03,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Bang Bon ,"3,350,000",204,"16,422",,2025-07-30 13:21:58,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Bang Kapi ,"11,505,000",708,"16,250",,2025-07-30 13:16:51,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khan Na Yao ,"6,695,000",412,"16,250",,2025-07-30 13:18:23,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Bueng Kum ,"6,500,000",400,"16,250",,2025-07-30 13:20:22,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Bueng Kum ,"7,600,000",472,"16,102",,2025-07-30 13:15:17,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khun Thian ,"6,600,000",412,"16,019",,2025-07-30 13:23:00,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Khan Na Yao ,"333,500,000","21,196","15,734",,2025-07-30 13:25:05,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Khan Na Yao ,"333,500,000","21,196","15,734",,2025-07-30 14:47:35,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"4,400,000",280,"15,714",,2025-07-30 14:48:20,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khae ,"4,390,000",280,"15,679",,2025-07-30 13:24:33,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
